scope,probe,gaps,gaps_lt5,fraction_gaps_lt5,buckets,singletons,multi_buckets,total_firing_tokens,fraction_tokens_in_multi,mean_multi,median_multi,p90_multi,p95_multi,max_multi
all_400,suite,70672,45746,0.647300203758207,25326,12398,12928,71072,0.8255571814497974,4.53852103960396,3.0,9.0,12.0,66
all_400,report,55502,41369,0.7453605275485569,14533,6648,7885,55902,0.8810776000858646,6.246544071020926,4.0,15.0,20.0,50
four_displayed,suite,635,388,0.6110236220472441,251,135,116,639,0.7887323943661971,4.344827586206897,3.0,9.0,11.0,20
four_displayed,report,715,558,0.7804195804195804,161,71,90,719,0.9012517385257302,7.2,4.0,17.10000000000001,21.099999999999994,37
