scope,probe,gaps,gaps_lt5,gap_capture_pct,windows,firing_tokens,mean,median,p90,p95,max,singleton_window_pct,tokens_in_multi_windows_pct
four_displayed,suite,635,388,61.102362204724415,251,639,2.545816733067729,1.0,5.0,8.5,20,53.78486055776892,78.87323943661971
four_displayed,report,715,558,78.04195804195804,161,719,4.46583850931677,2.0,12.0,18.0,37,44.099378881987576,90.12517385257301
all_400,suite,70672,45746,64.7300203758207,25326,71072,2.806286030166627,2.0,6.0,9.0,66,48.95364447603254,82.55571814497974
all_400,report,55502,41369,74.53605275485569,14533,55902,3.846556113672332,2.0,10.0,16.0,50,45.74416844423037,88.10776000858645
