id,probe,metric,n,mean
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,scorefile__L39,trigger_distance,133,20.63157894736842
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,scorefile__L39,silent_gap,90,29.011111111111113
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,scorefile__L39,burst_start_distance,90,30.477777777777778
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,acquire__L39,trigger_distance,145,18.944827586206898
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,acquire__L39,silent_gap,100,26.02
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,acquire__L39,burst_start_distance,100,27.47
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,report__L39,trigger_distance,110,24.37272727272727
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,report__L39,silent_gap,45,57.13333333333333
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,report__L39,burst_start_distance,45,59.2
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,motivated__L39,trigger_distance,177,15.01129943502825
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,motivated__L39,silent_gap,98,25.306122448979593
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,motivated__L39,burst_start_distance,98,27.112244897959183
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,suite__L39,trigger_distance,218,15.564220183486238
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,suite__L39,silent_gap,126,25.1984126984127
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,suite__L39,burst_start_distance,126,26.92063492063492
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,validator__L39,trigger_distance,235,14.13191489361702
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,validator__L39,silent_gap,115,26.83478260869565
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,validator__L39,burst_start_distance,115,28.878260869565217
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,scorefile__L39,trigger_distance,207,16.44927536231884
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,scorefile__L39,silent_gap,127,25.181102362204726
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,scorefile__L39,burst_start_distance,127,26.80314960629921
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,acquire__L39,trigger_distance,166,20.53614457831325
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,acquire__L39,silent_gap,111,29.216216216216218
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,acquire__L39,burst_start_distance,111,30.7027027027027
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,report__L39,trigger_distance,211,15.810426540284361
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,report__L39,silent_gap,69,45.289855072463766
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,report__L39,burst_start_distance,69,48.2463768115942
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,motivated__L39,trigger_distance,251,13.02788844621514
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,motivated__L39,silent_gap,127,23.771653543307085
7b3b52a95b57e78a43b9637a6948937445f1f8e877e9aa72848f406393949435,motivated__L39,burst_start_distance,127,25.748031496062993
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,suite__L39,trigger_distance,108,31.574074074074073
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,suite__L39,silent_gap,76,43.44736842105263
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,suite__L39,burst_start_distance,76,44.86842105263158
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,validator__L39,trigger_distance,100,30.62
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,validator__L39,silent_gap,48,61.708333333333336
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,validator__L39,burst_start_distance,48,63.75
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,scorefile__L39,trigger_distance,151,22.662251655629138
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,scorefile__L39,silent_gap,116,28.198275862068964
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,scorefile__L39,burst_start_distance,116,29.5
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,acquire__L39,trigger_distance,213,16.08450704225352
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,acquire__L39,silent_gap,129,24.906976744186046
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,acquire__L39,burst_start_distance,129,26.558139534883722
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,report__L39,trigger_distance,68,30.676470588235293
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,report__L39,silent_gap,43,46.93023255813954
